,Title,Year,Genre,Certificate,Rating,Num Votes,Description,Stars
0,WandaVision,(2021),"
Action, Comedy, Drama            ",12+,7.8,"31,101","
    Blends the style of classic sitcoms with the MCU in which Wanda Maximoff and Vision -two super-powered beings living their ideal suburban lives-begin to suspect that everything is not as it seems.",
1,Fate: The Winx Saga,(2021– ),"
Action, Adventure, Drama            ",15,7.0,"15,084","
    A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.",
2,Godzilla vs. Kong,(2021),"
Action, Sci-Fi, Thriller            ",PG-13,8.9,"189,421","
    The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.",
3,Attack on Titan,(2013– ),"
Animation, Action, Adventure            ",15,7.6,"33,897","
    After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",
4,Lupin,(2021– ),"
Action, Crime, Drama            ",15,8.6,"105,324","
    Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",
5,Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",15,8.5,"429,745","
    Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",
6,Vikings,(2013–2020),"
Action, Adventure, Drama            ",12,8.8,"282,554","
    Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",
7,The Mandalorian,(2019– ),"
Action, Adventure, Sci-Fi            ",PG,9.3,"1,764,529","
    The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",
8,Game of Thrones,(2011–2019),"
Action, Adventure, Drama            ",18,6.8,"25,077","
    Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",
9,Snowpiercer,(2020– ),"
Action, Drama, Sci-Fi            ",15,6.0,"3,124","
    Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.",
10,Mortal Kombat,(2021),"
Action, Adventure, Fantasy            ",12A,7.5,"284,521","
    MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.",
11,Walker,(2021– ),"
Action, Crime, Drama            ",12A,5.4,$53.80M,"
    A widowed father returns to Austin after two years, attempting to reconnect with his children, navigate clashes with his family, and find common ground with his new partner, while growing increasingly suspicious of his wife's death.",
12,Tenet,(2020),"
Action, Sci-Fi, Thriller            ",15,5.7,"148,973","
    Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",
13,Wonder Woman 1984,(2020),"
Action, Adventure, Fantasy            ",15,5.4,"5,009","
    Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",
14,Hour of Lead,(2020),"
Action, Mystery, Thriller            ",12A,6.8,"24,839","
    Story of a husband and wife that will stop at nothing to find their missing daughter, who disappeared on a family camping trip. When the police don't catch any leads, the duo take over.",
15,Outside the Wire,(2021),"
Action, Adventure, Fantasy            ",18,8.7,"12,732","
    In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",
16,News of the World,(2020),"
Action, Adventure, Drama            ",PG,7.2,"242,972","
    A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",
17,The Boys,(2019– ),"
Action, Comedy, Crime            ",12A,6.0,"46,758","
    A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.",
18,Superman and Lois,(2021– ),"
Action, Adventure, Drama            ",15,6.5,"134,343","
    Follow the world's most famous super hero and comic books' most famous journalist as they deal with all the stress, pressures, and complexities that come with being working parents in today's society.",
19,Master,(2021),"
Action, Thriller            ",15,7.7,$110.50M,"
    An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities.",
20,Raya and the Last Dragon,(2021),"
Animation, Action, Adventure            ",18,6.5,"10,114","
    In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",
21,Godzilla: King of the Monsters,(2019),"
Action, Adventure, Fantasy            ",12A,8.4,"119,245","
    The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",
22,Run Hide Fight,(2020),"
Action, Thriller            ",12A,6.4,"108,490","
    17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",
23,NCIS: Naval Criminal Investigative Service,(2003– ),"
Action, Crime, Drama            ",12,6.6,$20.16M,"
    The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",
24,Homefront,(I) (2013),"
Action, Crime, Thriller            ",12A,7.2,"84,516","
    A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",
25,The Last Kingdom,(2015– ),"
Action, Drama, History            ",12,8.4,"376,263","
    As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",
26,Godzilla,(2014),"
Action, Adventure, Sci-Fi            ",PG,7.7,$200.68M,"
    The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",
27,Kong: Skull Island,(2017),"
Action, Adventure, Fantasy            ",PG-13,7.2,"270,122","
    After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",
28,Star Trek: Discovery,(2017– ),"
Action, Adventure, Drama            ",15,5.9,$168.05M,"
    Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",
29,The Suicide Squad,(2021),"
Action, Adventure, Fantasy            ",15,8.3,"95,665","
    Plot is unknown.",
30,Avengers: Endgame,(2019),"
Action, Adventure, Drama            ",15,8.2,"811,019","
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",
31,9-1-1,(2018– ),"
Action, Drama, Thriller            ",12A,9.4,$858.37M,"
    Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.",
32,Disenchantment,(2018– ),"
Animation, Action, Adventure            ",12,7.4,"20,879","
    Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.",
33,The Marksman,(2021),"
Action, Thriller            ",18,7.3,"46,225","
    A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.",
34,Money Heist,(2017– ),"
Action, Crime, Mystery            ",PG,6.6,"1,261","
    An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.",
35,The Witcher,(2019– ),"
Action, Adventure, Fantasy            ",12,6.1,"295,859","
    Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",
36,Band of Brothers,(2001),"
Action, Drama, History            ",G,7.5,"298,218","
    The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.",
37,The Next Three Days,(2010),"
Action, Crime, Drama            ",12A,3.4,"375,320","
    A married couple's life is turned upside down when the wife is accused of a murder.",
38,The Karate Kid,(1984),"
Action, Drama, Family            ",15,6.9,"183,530","
    A martial arts master agrees to teach karate to a bullied teenager.",
39,9-1-1: Lone Star,(2020– ),"
Action, Drama, Thriller            ",PG,7.5,$21.15M,"
    A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.",
40,Winx Club,(2004– ),"
Animation, Action, Adventure            ",18,8.3,"196,496","
    At Alfea College, fairy warriors from all over the universe study to improve their supernatural powers. Bloom from planet Earth joins them upon discovery of her magical ability.",
41,Agents of S.H.I.E.L.D.,(2013–2020),"
Action, Adventure, Drama            ",15,7.8,$90.82M,"
    The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",
42,Batwoman,(2019– ),"
Action, Adventure, Crime            ",15,7.7,"6,401","
    Kate Kane seeks justice for Gotham City as Batwoman.",
43,Captain Marvel,(2019),"
Action, Adventure, Sci-Fi            ",15,7.9,"4,575","
    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",
44,Designated Survivor,(2016–2019),"
Action, Drama, Mystery            ",PG,8.1,"199,348","
    A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.",
45,Star Wars: The Clone Wars,(2008–2020),"
Animation, Action, Adventure            ",15,4.7,"31,737","
    Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",
46,The Gentlemen,(2019),"
Action, Comedy, Crime            ",18,7.1,"442,597","
    An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",
47,Titans,(I) (2018– ),"
Action, Adventure, Crime            ",12,5.9,$426.83M,"
    A team of young superheroes combat evil and other perils.",
